Department,Town,YES,NO,NULL,TOTAL
AMAZONAS,EL ENCANTO,170,51,2,223
AMAZONAS,LA CHORRERA,300,62,3,365
AMAZONAS,LA PEDRERA,189,25,1,215
AMAZONAS,LA VICTORIA,4,1,0,5
AMAZONAS,LETICIA,4403,4463,84,8950
AMAZONAS,MIRITI PARANA,89,7,0,96
AMAZONAS,PUERTO ALEGRIA,52,5,1,58
AMAZONAS,PUERTO ARICA,97,22,0,119
AMAZONAS,PUERTO NARIÃO,830,274,17,1121
AMAZONAS,PUERTO SANTANDER,125,16,2,143
AMAZONAS,TARAPACA,265,68,4,337
ANTIOQUIA,ABEJORRAL,1296,2105,52,3453
ANTIOQUIA,ABRIAQUI,213,332,13,558
ANTIOQUIA,ALEJANDRIA,966,696,22,1684
ANTIOQUIA,AMAGA,2084,4139,94,6317
ANTIOQUIA,AMALFI,1310,2304,72,3686
ANTIOQUIA,ANDES,3193,5729,93,9015
ANTIOQUIA,ANGELOPOLIS,553,1004,23,1580
ANTIOQUIA,ANGOSTURA,705,1089,84,1878
ANTIOQUIA,ANORI,1764,953,40,2757
ANTIOQUIA,ANTIOQUIA,2041,3300,102,5443
ANTIOQUIA,ANZA,363,740,16,1119
ANTIOQUIA,APARTADO,14195,12936,478,27609
ANTIOQUIA,ARBOLETES,3691,1937,57,5685
ANTIOQUIA,ARGELIA,650,1351,23,2024
ANTIOQUIA,ARMENIA,301,676,26,1003
ANTIOQUIA,BARBOSA,4200,8666,277,13143
ANTIOQUIA,BELLO,43642,76122,1577,121341
ANTIOQUIA,BELMIRA,687,897,17,1601
ANTIOQUIA,BETANIA,466,1110,22,1598
ANTIOQUIA,BETULIA,1005,1919,49,2973
ANTIOQUIA,BOLIVAR,1644,3875,60,5579
ANTIOQUIA,BRICEÃO,1367,604,45,2016
ANTIOQUIA,BURITICA,474,890,20,1384
ANTIOQUIA,CACERES,2506,1358,83,3947
ANTIOQUIA,CAICEDO,593,921,43,1557
ANTIOQUIA,CALDAS,9292,16149,397,25838
ANTIOQUIA,CAMPAMENTO,619,604,41,1264
ANTIOQUIA,CAÃASGORDAS,1911,2739,121,4771
ANTIOQUIA,CARACOLI,578,593,12,1183
ANTIOQUIA,CARAMANTA,568,790,26,1384
ANTIOQUIA,CAREPA,5327,6057,190,11574
ANTIOQUIA,CARMEN DE VIBORAL,5528,10787,272,16587
ANTIOQUIA,CAROLINA,464,641,23,1128
